import time: self [us] | cumulative | imported package
import time:       190 |        190 |             json.encoder
import time:       237 |       2438 |           json
import time:       223 |        223 |             copy
import time:      1244 |       1467 |           http.cookiejar
import time:        25 |         25 |                 _winapi
import time:        21 |         21 |                 winreg
import time:       277 |        322 |               mimetypes
import time:        21 |         21 |                   _winapi
import time:        20 |         20 |                   nt
import time:        18 |         18 |                   nt
import time:        18 |         18 |                   nt
import time:        17 |         17 |                   nt
import time:        18 |         18 |                   nt
import time:        24 |         24 |                   nt
import time:        38 |        171 |                 ntpath
import time:       533 |        704 |               pathlib
import time:       584 |        584 |               httpx._types
import time:       227 |        227 |               httpx._utils
import time:       323 |       2158 |             httpx._multipart
import time:       269 |       2426 |           httpx._content
import time:        61 |         61 |             brotli
import time:        21 |         21 |             brotlicffi
import time:       136 |        136 |                 _wmi
import time:      1684 |       1819 |               platform
import time:      4164 |       4164 |               zstandard.backend_c
import time:   2576354 |    2582336 |             zstandard
import time:       405 |    2582822 |           httpx._decoders
import time:   2550375 |    2550375 |           httpx._status_codes
